"309";"3";"19";"401"
"310";"2";"12";"118"
"311";"1";"3";"462"
"312";"2";"19";"020"
"313";"2";"3";"338"
"314";"3";"3";"425"
"315";"1";"3";"432"
"316";"4";"3";"E16"
"317";"2";"3";"245"
"318";"4";"3";"E35"
"319";"1";"3";"414"
"320";"1";"7";"314"
"321";"1";"14";"217"
"322";"3";"13";"112"
"323";"2";"2";"231"
"324";"2";"3";"263"
"325";"4";"3";"E22"
"326";"1";"17";"460"
"327";"2";"1";"002"
"328";"1";"15";"516"
"329";"2";"11";"165"
"330";"4";"3";"E03"
"331";"1";"6";"703"
"332";"1";"16";"612"
"333";"3";"16";"613"
"334";"4";"3";"E34"
"335";"4";"1";"E37"
"336";"1";"3";"437"
"337";"2";"2";"069"
"338";"1";"9";"511"
"339";"6";"9";"267"
"340";"1";"18";"116"
"341";"4";"5";"J17"
"342";"2";"5";"264"
"343";"2";"5";"136"
"344";"4";"3";"E05"
"345";"2";"14";"047"
"346";"2";"14";"122"
"347";"2";"4";"126"
"348";"2";"7";"108"
"349";"2";"16";"104"
"350";"4";"3";"E39"
"351";"2";"16";"089"
"352";"2";"10";"074"
"353";"2";"9";"387"
"354";"8";"9";"814"
"355";"2";"9";"092"
"356";"2";"3";"190"
"357";"2";"7";"174"
"358";"2";"15";"080"
"359";"2";"2";"324"
"360";"2";"3";"287"
"361";"2";"3";"251"
"362";"2";"14";"A8T"
"363";"2";"4";"221"
"364";"3";"6";"711"
"365";"1";"6";"710"
"366";"3";"4";"605"
"367";"2";"5";"A6T"
"368";"2";"7";"141"
"369";"6";"7";"377"
"370";"2";"7";"257"
"371";"8";"12";"815"
"372";"2";"5";"329"
"373";"2";"7";"033"
"374";"1";"3";"455"
"375";"4";"4";"E08"
"376";"1";"18";"115"
"377";"6";"3";"338"
"378";"1";"3";"453"
"379";"8";"3";"812"
"380";"4";"3";"E06"
"381";"2";"3";"410"
"382";"2";"3";"252"
"383";"2";"3";"CBA"
"384";"4";"3";"E13"
"385";"3";"4";"607"
"386";"1";"4";"602"
"387";"2";"19";"296"
"388";"2";"16";"082"
"389";"4";"13";"J01"
"390";"1";"3";"470"
"391";"2";"6";"222"
"392";"4";"3";"EN1"
"393";"1";"12";"325"
"394";"2";"8";"D06"
"395";"2";"16";"083"
